id,code,ename,fcover,tpop,apop,gdp1,gdp2,gdp3,distpvc,distport,hwaylen,explen,plain,elev,prec,slope,temp,temp0,area,policy
58,362402,jinggangshan,55.5999529,15,11,1635.866667,3355.666667,4999.4,222284.1,379907.2,188600.5,7649.319,0.069381,700,1517,6.59,14.6,5356.4,66176,0
59,362421,ji'anxian,172.736797,44,37,2017.727273,3155.681818,2113.863636,205940.9,461385.2,190440.3,17540.26,0.065738,145,1537,1.41,17.7,6460.9,308858,0
60,362422,jishui,167.64193,49,39,1728.367347,2202.306122,1689.387755,175783.2,444746.2,170426.5,3679.716,0.185724,146,1584,2.1,17.4,6352.2,274819,0
61,362423,xiajiang,82.5341577,17,12,2802.352941,2633.823529,2476.764706,137502.8,456190.5,131019.9,12621.05,0.195804,112,1642,1.69,17,6199.5,128973,1
62,362424,xingan,62.516809,31,24,2440.387097,2956.096774,2398.387097,109455,433154,104971.6,10280.74,0.346153,144,1615,2.48,16.8,6132,124489,0
63,362425,yongfeng,194.344226,42,34,1999.833333,3138.071429,2072.095238,174359.2,402108.6,171790.2,45415.88,0.131627,246,1663,2.52,16.9,6183.2,269375,1
64,362426,taihe,155.975618,52,44,2446.692308,3201.019231,2345.019231,238213.8,425467,216296.8,1396.43,0.052375,186,1494,1.93,17.7,6484.8,266976,0
65,362427,suichuan,215.379818,54,49,1112.12963,1815.092593,1918.277778,253282.7,373986.4,221368.8,4364.672,0.014539,450,1462,4.41,16.6,6080.4,310299,1
66,362428,wan'an,139.0042295,30,25,1669.833333,1537.5,1685.666667,263017.8,394268.3,234139.7,20147.53,0.00782,220,1444,2.53,17.9,6546.4,204611,0
67,362429,anfu,181.458143,38,30,2322.631579,3280.026316,2278.552632,166418.9,479809.2,143770,42887.33,0.37196,312,1573,3.76,16.2,5954.2,278858,0
68,362430,yongxin,142.926208,48,40,1547.083333,1842.708333,1644.916667,179190.5,434256.3,150521.3,2701.602,0.289222,311,1579,3.43,16.6,6092.4,219633,0
69,362522,nancheng,117.1544556,30,24,1947.933333,3122.2,3242.333333,145183.1,320239.7,150543.2,4243.188,0.134196,202,1724,2.25,16.9,6204,169721,0
70,362523,lichuan,136.9759068,24,19,1687.5,2177.083333,1760.416667,182429.7,284566.4,188012.6,16272.1,0.085747,303,1784,3.1,16.7,6120.9,172825,0
71,362524,nanfeng,146.690905,28,22,2732.142857,2953.107143,3566.178571,179383.4,317197.9,182875.9,1093.639,0.150884,254,1731,2.52,17.1,6258.1,192291,0
72,362525,chongren,95.8478717,33,27,2100.272727,3352.30303,2435,107228,384131.5,108546.3,44871.33,0.206192,141,1713,1.74,17.1,6251.8,151708,0
73,362526,le'an,174.5724345,36,27,1305.555556,1286.111111,1519.444444,142373.5,383892.3,141843.3,58074.11,0.11548,288,1758,3.14,16.3,5981,241545,0
74,362527,yihuang,153.3121761,21,18,1633.333333,2392,1652.761905,143314.5,351728.7,145790.7,29158.53,0.092687,358,1737,4.44,16.2,5923.3,194232,0
